head,relation,tail,prompt,response,pred_relation,true_relation,verification,pred_verification,pred_relation_2
moraceae,member meronym,morus,What is the relationship between 'moraceae' and 'morus'?,"1. Moraceae [hypernym] Morus; 
2. Morus [instance hyponym] Moraceae.","['hypernym', 'instance hyponym']",member meronym,"['This relationship is True. Reason: Moraceae is a family of flowering plants which includes the genus Morus, commonly known as mulberries. Therefore, Morus is a member of the Moraceae family.', 'True. Reason: Moraceae is the plant family to which the genus Morus belongs. Morus is a genus of flowering plants in the family Moraceae, commonly known as mulberries.']","['not found', 'true']","['member of', 'hypernym']"
lard,derivationally related form,lard,What is the relationship between 'lard' and 'lard'?,1. Lard [synset domain usage of] lard; 2. Lard [similar to] lard; 3. Lard [synset domain topic of] lard; 4. Lard [verb group] lard.,"['synset domain usage of', 'similar to', 'synset domain topic of', 'verb group']",derivationally related form,"[""False. Reason: In a knowledge graph, a relationship between two entities typically involves a connection or interaction between the two entities. In this case, as 'lard' is being related to itself, there is no meaningful relationship that can be established between the same entity."", 'False. Reason: In a knowledge graph, an entity cannot have a relationship with itself.', 'False. Reason: In a knowledge graph, a relationship typically connects two distinct entities, not the same entity with itself.', 'Please provide a valid relationship between two different entities.']","['false', 'false', 'false', 'not found']","['synset domain usage of', 'verb group', 'similar to', 'derivationally related form', 'also see']"
number,derivationally related form,numeral,What is the relationship between 'number' and 'numeral'?,"1. Number [hypernym] Numeral; 
2. Numeral [hyponym] Number;","['hypernym', 'hyponym']",derivationally related form,"[""Relationship: 'number' is a component of 'numeral'\nTrue. Reason: A numeral is a symbol or name that represents a number. In this relationship, 'number' is a fundamental concept that is represented by 'numeral'."", 'I am not sure. Can you please provide more context or rephrase the question?']","['not found', 'not found']","['hypernym', 'hyponym']"
skimmer,hypernym,cooking_utensil,What is the relationship between 'skimmer' and 'cooking_utensil'?,"1. Skimmer [hypernym] Cooking_utensil; 
2. Skimmer [has part] Cooking_utensil; 
3. Skimmer [member meronym] Cooking_utensil.","['hypernym', 'has part', 'member meronym']",hypernym,"['False. Reason: A skimmer is a type of kitchen utensil used for skimming liquids, such as soups or stocks, whereas a cooking utensil is a general term for tools used in the process of cooking, which may include skimmers but are not limited to just skimmers.', ""False. Reason: A skimmer is a specific type of cooking utensil used for skimming liquids or removing impurities from a liquid or food, so the relationship between 'skimmer' and 'cooking_utensil' is not a general relationship."", 'False. Reason: A skimmer is a type of kitchen utensil used for skimming the surface of liquids, such as soups or stocks, to remove impurities or foam. It is not directly related to cooking utensils in general; rather, it is a specific type of utensil used for a specific purpose.']","['false', 'false', 'false']","['has part', 'member meronym', 'similar to']"
dominate,hypernym,control,What is the relationship between 'dominate' and 'control'?,1. Dominate [verb group] Control; 2. Dominate [hypernym] Control; 3. Dominate [similar to] Control; 4. Dominate [derivationally related form] Control; 5. Dominate [also see] Control.,"['verb group', 'hypernym', 'similar to', 'derivationally related form', 'also see']",hypernym,"[""True. Reason: 'Dominate' is a synonym of 'control', indicating a strong relationship between the two entities. Both terms involve having power or authority over something or someone."", 'False. Reason: While both ""dominate"" and ""control"" can be used to describe influence or power over something or someone, they are not directly synonymous. ""Dominate"" implies having a commanding influence or control over others, while ""control"" generally refers to the power to manage or direct something. These two concepts are related but not equivalent in meaning.', ""False. Reason: 'Dominate' and 'control' are related in that they both involve exerting power or authority over something or someone. In this case, it is reasonable to say that they can be considered to have a relationship in the context of power dynamics or influence."", ""True. Reason: Based on common sense, 'dominate' and 'control' are related concepts where one entity has power or authority over the other. In many contexts, dominating someone or something implies having control or influence over them."", ""True. Reason: In general, 'dominate' is related to 'control' as both terms involve having power or authority over something or someone. When one entity dominates another, it often means that entity also has control over it.""]","['true', 'false', 'false', 'true', 'true']","['hypernym', 'verb group', 'similar to', 'synset domain usage of', 'also see', 'derivationally related form']"
cakile,hypernym,dilleniid_dicot_genus,What is the relationship between 'cakile' and 'dilleniid_dicot_genus'?,1. Cakile [hypernym] Dilleniid dicot genus; 2. Cakile [hyponym] Dilleniid dicot genus; 3. Cakile [instance hyponym] Dilleniid dicot genus; 4. Cakile [instance hypernym] Dilleniid dicot genus.,"['hypernym', 'hyponym', 'instance hyponym', 'instance hypernym']",hypernym,"[""False. Reason: 'Cakile' and 'dilleniid_dicot_genus' are not directly related entities in a typical knowledge graph based on common sense. 'Cakile' is a genus of plants in the mustard family (Brassicaceae), while 'dilleniid_dicot_genus' refers to a broader taxonomic category of dicot plants. There is no direct relationship between a specific genus like 'Cakile' and the category 'dilleniid_dicot_genus'."", ""I'm sorry, but I cannot provide a true/false answer to this question as the entities 'cakile' and 'dilleniid_dicot_genus' do not have a clearly defined relationship in common knowledge or general knowledge graphs."", ""I am unable to provide an accurate answer as there is not enough information available to determine the relationship between 'cakile' and 'dilleniid_dicot_genus' based solely on common sense knowledge."", 'I cannot provide an answer to this question as I do not have access to the knowledge graph or external sources.']","['false', 'not found', 'not found', 'not found']",['hypernym']
retrench,hypernym,reduce,What is the relationship between 'retrench' and 'reduce'?,"1. Retrench [synset domain region of] Reduce; 
2. Retrench [verb group] Reduce.","['synset domain region of', 'verb group']",hypernym,"[""False. Reason: In a knowledge graph based on common sense, 'retrench' and 'reduce' are not typically considered to have a direct relationship. While both words can be associated with the concept of making something smaller or cutting back, 'retrench' often implies a more specific action related to reducing costs, expenses, or workforce in a strategic manner, whereas 'reduce' is a more general term that can refer to making something smaller or diminishing in various contexts."", ""True. Reason: In general, 'retrench' and 'reduce' are synonymous verbs that both convey the idea of making something smaller in size, amount, or extent. Therefore, it is reasonable to say that there is a relationship between 'retrench' and 'reduce' in a knowledge graph.""]","['false', 'true']","['synonym', 'similar to', 'verb group']"
temperature,hypernym,somesthesia,What is the relationship between 'temperature' and 'somesthesia'?,1. Temperature [similar to] Somesthesia; 2. Temperature [synset domain topic of] Somesthesia; 3. Temperature [synset domain usage of] Somesthesia; 4. Temperature [also see] Somesthesia; 5. Temperature [instance hyponym] Somesthesia.,"['similar to', 'synset domain topic of', 'synset domain usage of', 'also see', 'instance hyponym']",hypernym,"[""False. Reason: 'Temperature' and 'somesthesia' are not directly related entities. Temperature refers to the degree of heat present in a substance or object, whereas somesthesia refers to the perception of touch, pressure, temperature, or pain. While they both involve the concept of temperature, they are distinct concepts in different domains (physical vs. physiological)."", 'I do not have enough information to provide a definitive answer.', 'False. Reason: Temperature and somesthesia are not directly related in a typical sense within a knowledge graph. Temperature is a measure of the degree of hotness or coldness of a body or environment, while somesthesia refers to the perception of sensation, including touch, temperature, pain, and proprioception. They are related to the sensory system but represent different aspects of it.', 'False. Reason: Temperature and somesthesia (sensation of touch and pressure) are not directly related in a typical knowledge graph. Temperature refers to the hotness or coldness of an object or environment, while somesthesia refers to the perception of touch, pressure, and other bodily sensations.', 'This is a scientific question. Let me verify based on common knowledge. \n\nTrue. Reason: Temperature and somesthesia are related in the sense that somesthesia refers to the perception of stimuli such as temperature, touch, pain, and proprioception. Therefore, there is a relationship between temperature and somesthesia in the context of sensory perception.']","['false', 'not found', 'false', 'false', 'not found']","['similar to', 'synset domain topic of', 'synset domain usage of', 'also see']"
boston,has part,charlestown,What is the relationship between 'boston' and 'charlestown'?,"1. Boston [part of] Charlestown; 
2. Boston [has part] Charlestown.","['part of', 'has part']",has part,"['I am not sure which specific relationship you are referring to between these two entities. Could you please provide more context or details?', 'It depends on the context as ""Boston"" and ""Charlestown"" can refer to different things. If we are talking about the cities, then one possible relationship could be:\n\nTrue. Reason: Charlestown is a neighborhood within the city of Boston, Massachusetts, in the United States.']","['not found', 'not found']","['has part', 'similar to', 'part of', 'member of domain region']"
fort,derivationally related form,fortress,What is the relationship between 'fort' and 'fortress'?,1. Fort [hypernym] Fortress; 2. Fort [instance hyponym] Fortress; 3. Fort [similar to] Fortress; 4. Fort [member meronym] Fortress; 5. Fort [derivationally related form] Fortress.,"['hypernym', 'instance hyponym', 'similar to', 'member meronym', 'derivationally related form']",derivationally related form,"['False. Reason: A ""fort"" is typically a smaller and simpler military structure used for defense, while a ""fortress"" is a larger and more fortified structure designed for greater defense and protection. Though both terms are related to military defense, they represent different scales and levels of complexity in terms of structures.', 'False. Reason: A fort is a type of defensive structure used in warfare, while a fortress is a larger and more heavily fortified version of a fort. Therefore, a fort is not the same as a fortress, but they are related in terms of their purpose as defensive military structures.', ""The relationship between 'fort' and 'fortress' is that they are synonyms. \n\nTrue. Reason: A fort and a fortress both refer to a military stronghold or fortified structure used for defense."", 'False. Reason: A fort is a type of military structure typically used for defense, while a fortress is a larger and more heavily fortified military structure designed to protect a larger area or house a larger number of troops. While the two terms are related in terms of their purpose, a fort is generally smaller and less fortified than a fortress.', 'False. Reason: A fort is typically a smaller defensive structure, often temporary, while a fortress is a larger and more permanent defensive structure, usually with multiple layers of defense and a garrison. While a fort can be part of a fortress, they are not synonymous and do not have a direct relationship.']","['false', 'false', 'not found', 'false', 'false']","['hypernym', 'hyponym', 'synset domain topic of', 'part of', 'similar to']"
pouteria,member meronym,marmalade_tree,What is the relationship between 'pouteria' and 'marmalade_tree'?,"1. Pouteria [hypernym] marmalade_tree; 
2. Pouteria [hyponym] marmalade_tree;","['hypernym', 'hyponym']",member meronym,"['I am not aware of any direct relationship between ""pouteria"" and ""marmalade_tree"" based on common knowledge.\nTrue. Reason: There is no known direct relationship between ""pouteria"" and ""marmalade_tree"" in a knowledge graph.', ""I don't have explicit knowledge about the relationship between 'pouteria' and 'marmalade_tree'.""]","['not found', 'not found']","['instance hypernym', 'hyponym', 'has part']"
sensitizer,hypernym,activator,What is the relationship between 'sensitizer' and 'activator'?,"1. Sensitizer [hypernym] Activator; 
2. Sensitizer [similar to] Activator; 
3. Sensitizer [also see] Activator;","['hypernym', 'similar to', 'also see']",hypernym,"['False. Reason: In general, a sensitizer and an activator do not have a direct relationship in a knowledge graph based on common sense. A sensitizer is typically a substance that increases the sensitivity of a system, such as a photographic film or a chemical reaction, while an activator is a more general term that can refer to something that initiates or promotes a process or activity. While they both can play roles in enhancing certain processes, they do not necessarily have a direct relationship to each other.', 'False. Reason: In a general sense, a sensitizer and an activator may both refer to substances that enhance a certain process or reaction. However, without additional context, there is no inherent relationship between a sensitizer and an activator in terms of a specific predefined connection or interaction in a knowledge graph or common knowledge.', 'False. Reason: In a general sense, a sensitizer and an activator are not directly related terms. A sensitizer typically refers to a substance that increases the response to a stimulus, while an activator is something that initiates or accelerates a chemical reaction. While there may be specific contexts where these terms could be related (e.g., in the field of photography or industrial processes), there is no inherent relationship between them based on common knowledge.']","['false', 'false', 'false']","['hypernym', 'similar to', 'also see']"
hovel,hypernym,shelter,What is the relationship between 'hovel' and 'shelter'?,"1. Hovel [hypernym] Shelter; 
2. Hovel [hyponym] Shelter; 
3. Hovel [synonym] Shelter; 
4. Hovel [similar to] Shelter;","['hypernym', 'hyponym', 'synonym', 'similar to']",hypernym,"['This relationship is True. Reason: A hovel is a small, poorly constructed, and often dirty house or shelter. A hovel can be considered a type of shelter, although it typically has negative connotations due to its poor condition.', 'True. Reason: A hovel is a type of shelter. Both terms refer to a place that provides protection or refuge, although a hovel typically implies a small, poorly constructed or run-down shelter.', 'False. Reason: A hovel is typically considered a dilapidated or small and crude dwelling, often associated with poverty or a lack of proper living conditions. On the other hand, a shelter is a more general term that can refer to any place providing refuge or protection, which may or may not be dilapidated or associated with poverty. While both hovels and shelters provide a form of housing, they are not directly synonymous, and the relationship between them is not direct in a knowledge graph based on common sense.', 'False. Reason: A hovel is typically used to refer to a small, dirty, or poorly built house or shelter, implying a negative or derogatory connotation. While a hovel can technically be considered a type of shelter, the relationship between the two terms is not typically one of equivalence.']","['not found', 'true', 'false', 'false']","['hypernym', 'hyponym', 'similar to', 'synset domain topic of', 'has part']"
urinary,derivationally related form,urine,What is the relationship between 'urinary' and 'urine'?,1. Urine [has part] Urinary.,['has part'],derivationally related form,"[""True. Reason: 'Urinary' is an adjective related to the urinary system, which includes organs such as the kidneys, ureters, bladder, and urethra that are involved in the production and excretion of urine. 'Urine' refers to the liquid waste product excreted by the kidneys through the urinary system. Therefore, there is a direct relationship between 'urinary' and 'urine' as they are both related to the urinary system and the process of urine production and excretion.""]",['true'],"['has part', 'related to', 'synset domain topic of']"
linear,derivationally related form,add,What is the relationship between 'linear' and 'add'?,"1. Linear [derivationally related form] Add; 
2. Linear [similar to] Add; 
3. Linear [has part] Add; 
4. Linear [verb group] Add.","['derivationally related form', 'similar to', 'has part', 'verb group']",derivationally related form,"['False. Reason: In mathematics, the relationship between ""linear"" and ""add"" is that linear functions involve addition and multiplication by constants, but the term ""add"" typically refers to simple addition operations, which may not necessarily be part of a linear relationship.', ""True. Reason: In mathematics, the relationship between 'linear' and 'add' is that to find the result of adding two numbers linearly is the same as adding them in a non-linear way. This means that the addition operation is the same regardless of the order in which the numbers are added."", 'This question is ambiguous without more context as ""linear"" and ""add"" can have multiple meanings and interpretations. It is not clear which specific entities or concepts these terms refer to in the context of a knowledge graph. Providing additional information or context would help in determining the relationship between \'linear\' and \'add\'.', ""False. Reason: 'Linear' and 'add' are not directly related in a common sense knowledge graph. 'Linear' usually refers to something that follows a straight line or is related to lines, while 'add' is a mathematical operation to combine two or more numbers to get a sum. There is no direct relationship between being linear and addition.""]","['false', 'true', 'not found', 'false']","['verb group', 'similar to', 'hypernym', 'also see', 'derivationally related form']"
seat,verb group,sit,What is the relationship between 'seat' and 'sit'?,1. seat [hypernym] sit; 2. sit [hyponym] seat; 3. seat [has part] sit; 4. sit [also see] seat; 5. seat [similar to] sit,"['hypernym', 'hyponym', 'has part', 'also see', 'similar to']",verb group,"[""False. Reason: The relationship between 'seat' and 'sit' is not a direct relationship in a knowledge graph based on common sense. While 'seat' refers to a place where one can sit, 'sit' is an action performed by a person occupying a seat. The relationship between these entities is indirect rather than a direct relationship."", ""False. Reason: The relationship between 'seat' and 'sit' is not a direct relationship in a knowledge graph based on common sense. While 'seat' is typically used as a noun to refer to a piece of furniture designed for one person to sit on, 'sit' is a verb used to describe the action of lowering oneself into a sitting position on a seat or any surface. The two entities are related in the sense that one can sit on a seat, but they do not have a direct relationship in terms of a semantic or knowledge graph relationship."", ""False. Reason: The relationship between 'seat' and 'sit' is indirect. A seat is an object where one can sit, so the relationship is more of a functional association rather than a direct relationship."", ""True. Reason: The relationship between 'seat' and 'sit' is that a 'seat' is something that is intended for a person to 'sit' on. A seat is a physical object or surface designed for a person to sit on, which implies that the action of sitting (sit) often takes place on a seat."", ""False. Reason: 'Seat' and 'sit' are related concepts but they do not have a direct relationship in a knowledge graph. A seat is typically an object or structure designed for a person to sit on, while 'sit' is an action that a person does when they lower themselves onto a seat or any other surface.""]","['false', 'false', 'false', 'true', 'false']","['hypernym', 'hyponym', 'has part', 'verb group']"
being,derivationally related form,actual,What is the relationship between 'being' and 'actual'?,1. being [hypernym] actual; 2. being [similar to] actual; 3. being [derivationally related form] actual; 4. being [verb group] actual; 5. being [synset domain usage of] actual; 6. being [synset domain topic of] actual; 7. being [synset domain region of] actual; 8. being [member of domain topic] actual; 9. being [member of domain usage] actual; 10. being [member of domain region] actual.,"['hypernym', 'similar to', 'derivationally related form', 'verb group', 'synset domain usage of', 'synset domain topic of', 'synset domain region of', 'member of domain topic', 'member of domain usage', 'member of domain region']",derivationally related form,"[""False. Reason: There is no direct relationship between 'being' and 'actual' in a typical knowledge graph based on common sense. 'Being' is a verb that refers to existence or the state of living, while 'actual' is an adjective that means real, existing in fact, or genuine. These two entities do not have a relationship that can be explicitly captured in a knowledge graph."", 'This question is quite abstract and could have multiple interpretations depending on the context. In a linguistic sense, ""being"" and ""actual"" could be related in the context of philosophy or existentialism, where ""being"" refers to existence and ""actual"" refers to something real or existing in reality. In this case, the relationship could be that ""being"" is a concept that encompasses the idea of something being real or actual. If we consider a knowledge graph based on common sense, we can infer that the relationship between \'being\' and \'actual\' is True. Reason: \'Being\' and \'actual\' are related in the sense that \'being\' represents existence, and \'actual\' refers to something real or existing in reality.', ""This question is too vague for me to provide a specific relationship between 'being' and 'actual'. Can you please provide more context or rephrase the question?"", 'This question is quite vague and the relationship between ""being"" and ""actual"" could vary based on context. In general, ""being"" is a concept related to existence or identity, while ""actual"" typically refers to something that is real or factual. Without a specific context, it is difficult to determine a direct relationship between ""being"" and ""actual"" in a knowledge graph.', ""This question is unclear and vague. The relationship between 'being' and 'actual' can vary depending on the context in which they are used. If you provide more specific information or phrasing, I can attempt to answer your question."", 'This question is a bit vague, as ""being"" and ""actual"" can have multiple meanings and interpretations. In terms of common sense and general knowledge, there is no direct or specific relationship between the concept of ""being"" and ""actual"" in a knowledge graph. These two entities are more related to philosophical and abstract concepts rather than a concrete and specific relationship. Therefore, the most appropriate response would be:\n\nFalse. Reason: There is no direct or specific relationship between the concept of ""being"" and ""actual"" in a knowledge graph.', ""This question is unclear and can be interpreted in different ways. The term 'being' can refer to existence or an individual, while 'actual' typically means real or existing in fact. In the context of a knowledge graph, the relationship between 'being' and 'actual' may not be explicitly defined. Please provide more context or a specific knowledge graph for a more accurate answer."", ""False. Reason: 'Being' and 'actual' are not directly related in a specific or commonly known relationship in a knowledge graph based on common sense."", 'This question seems vague because ""being"" and ""actual"" can be interpreted in multiple ways depending on the context. Can you provide more specific information or a sentence where these entities are used to clarify the relationship you are asking about?', 'This question is rather vague because \'being\' and \'actual\' can have multiple interpretations and relationships depending on the context. In the context of ontology or philosophy, \'being\' and \'actual\' are related in the sense that \'being\' refers to existence as a whole, while \'actual\' refers to something that exists in reality rather than just potentially. So, a possible relationship could be ""being"" is a broader concept that encompasses ""actual"". \n\nTrue. Reason: In the context of ontology or philosophy, \'being\' is a broader concept that encompasses \'actual\' in terms of existence and reality.']","['false', 'not found', 'not found', 'not found', 'not found', 'not found', 'not found', 'false', 'not found', 'not found']","['hypernym', 'similar to', 'derivationally related form', 'instance hyponym', 'verb group']"
