head,relation,tail,prompt,response,pred_relation,true_relation,verification,pred_verification,pred_relation_2
billion,hypernym,large_integer,What is the relationship between 'billion' and 'large_integer'?,'billion' [hypernym] 'large_integer',['hypernym'],hypernym,"['False. Reason: Based on common sense, ""billion"" is a specific large integer that represents the quantity of one billion, and it is not a general term to represent any large integer. Thus, there is no direct relationship between ""billion"" and ""large_integer"" in a knowledge graph.']",['false'],['hypernym']
apery,hypernym,impersonation,What is the relationship between 'apery' and 'impersonation'?,'apery' [synset domain topic of] 'impersonation',['synset domain topic of'],hypernym,"[""I am not aware of any direct relationship between 'apery' and 'impersonation' based on common sense. \n\nFalse. Reason: There is no common relationship between the act of imitating or mimicking behavior (apery) and pretending to be someone else (impersonation).""]",['not found'],['hypernym']
astuteness,hypernym,wisdom,What is the relationship between 'astuteness' and 'wisdom'?,'astuteness' [similar to] 'wisdom',['similar to'],hypernym,"['False. Reason: Astuteness and wisdom are related concepts but they are not directly related in a traditional knowledge graph as they represent different qualities. Astuteness typically refers to shrewdness, sharpness, or cleverness in practical matters, while wisdom is more about having good judgment, experience, and deep understanding of life.']",['false'],['hyponym']
opposition,derivationally related form,pit,What is the relationship between 'opposition' and 'pit'?,'opposition' [similar to] 'pit',['similar to'],derivationally related form,"[""False. Reason: 'opposition' and 'pit' do not have a direct or common relationship based on common sense. A pit is typically a hole or cavity in the ground, while opposition refers to resistance or disagreement. There is no evident connection between the concept of a pit and the concept of opposition.""]",['false'],['derivationally related form']
box,derivationally related form,packaging,What is the relationship between 'box' and 'packaging'?,'box' [hypernym] 'packaging',['hypernym'],derivationally related form,"['False. Reason: While a box can be used for packaging items, not all boxes are specifically used for packaging. Boxes can also be used for storage or shipping purposes that may not necessarily involve packaging.']",['false'],['has part']
horizontal_surface,derivationally related form,level,What is the relationship between 'horizontal_surface' and 'level'?,'horizontal_surface' [hypernym] 'level',['hypernym'],derivationally related form,"['False. Reason: A horizontal surface is not necessarily level. While a level surface is always horizontal, a horizontal surface may not be perfectly level and can have variations in elevation.']",['false'],['hypernym']
judder,hypernym,vibrate,What is the relationship between 'judder' and 'vibrate'?,'judder' [similar to] 'vibrate',['similar to'],hypernym,"['True. Reason: Judder is a type of vibration characterized by a shaking movement or oscillation, indicating a strong connection between the two concepts.']",['true'],['similar to']
genus_amorphophallus,member meronym,devil's_tongue,What is the relationship between 'genus_amorphophallus' and 'devil's_tongue'?,'genus_amorphophallus' [instance hyponym] 'devil's_tongue',['instance hyponym'],member meronym,"[""As a language model AI, I do not have real-time access to external knowledge, so I will answer based on common knowledge. \n\nTrue. Reason: 'Devil's tongue' is a common name for the plant species 'Amorphophallus konjac', which belongs to the genus 'Amorphophallus'.""]",['not found'],['has part']
decamp,hypernym,leave,What is the relationship between 'decamp' and 'leave'?,'decamp' [synonym] 'leave',['synonym'],hypernym,"[""True. Reason: In common sense, 'decamp' is a synonym of 'leave', indicating that there is a relationship between the two entities.""]",['true'],['synonym']
bioweapon,hypernym,weapon_of_mass_destruction,What is the relationship between 'bioweapon' and 'weapon_of_mass_destruction'?,'bioweapon' [hypernym] 'weapon_of_mass_destruction',['hypernym'],hypernym,"[""False. Reason: A bioweapon is a type of weapon of mass destruction. Bioweapons are biological agents (such as bacteria, viruses, or toxins) used to intentionally cause harm to humans, animals, or plants. Therefore, the relationship between 'bioweapon' and 'weapon_of_mass_destruction' is not a separate relationship, but rather 'bioweapon' falls under the category of 'weapon_of_mass_destruction'.""]",['false'],['hypernym']
mile,hypernym,linear_unit,What is the relationship between 'mile' and 'linear_unit'?,'mile' [hypernym] 'linear_unit',['hypernym'],hypernym,"[""False. Reason: A mile is a specific unit of measurement used to measure distance, while a linear unit is a general term used to describe any unit of measurement that can measure length or distance. The relationship between 'mile' and 'linear_unit' does not exist in a knowledge graph as one is a specific unit while the other is a general category.""]",['false'],['hyponym']
confidence,hypernym,security,What is the relationship between 'confidence' and 'security'?,'confidence' [hypernym] 'security',['hypernym'],hypernym,"['This depends on the context in which the terms ""confidence"" and ""security"" are used. In a general sense, one possible relationship between ""confidence"" and ""security"" could be that having a sense of confidence can contribute to a feeling of security. \n\nTrue. Reason: Confidence can lead to a sense of security as feeling confident in oneself or in a situation can provide a sense of assurance and safety.']",['not found'],['has part']
salad_green,hypernym,greens,What is the relationship between 'salad_green' and 'greens'?,'salad_green' [hypernym] 'greens',['hypernym'],hypernym,"[""This query appears to involve a common sense reasoning task. \n\nTrue. Reason: 'Salad_green' is a type of 'greens', as 'greens' is a broader term that encompasses various types of leafy vegetables typically used in salads, such as lettuce, kale, arugula, and spinach.""]",['not found'],['hyponym']
segregate,hypernym,person,What is the relationship between 'segregate' and 'person'?,'segregate' [hypernym] 'person',['hypernym'],hypernym,"['This question seems quite vague as the relationship between ""segregate"" and ""person"" could vary depending on the context. However, in general, we can say that:\n\nTrue. Reason: One possible relationship between ""segregate"" and ""person"" is that a person can be segregated from others based on certain characteristics such as race, gender, or beliefs. Segregation involves separating or setting apart individuals or groups from others, often based on social, cultural, or legal factors. So, it is possible for a person to be subjected to segregation.']",['not found'],['hyponym']
graduate_school,hypernym,school,What is the relationship between 'graduate_school' and 'school'?,'graduate_school' [hypernym] 'school',['hypernym'],hypernym,"[""False. Reason: 'graduate_school' and 'school' are not directly related entities in a knowledge graph. A graduate school is a specialized school that offers advanced academic degrees, typically beyond a bachelor's degree, whereas a school usually refers to a more general educational institution that provides education at various levels including primary, secondary, and sometimes post-secondary education. While graduate schools are a type of educational institution, they serve a different purpose and cater to a different level of education compared to a general school.""]",['false'],['hyponym']
case,hypernym,container,What is the relationship between 'case' and 'container'?,'case' [hypernym] 'container',['hypernym'],hypernym,"['False. Reason: In general, ""case"" and ""container"" are not directly related in a typical knowledge graph in terms of a direct relationship. A case is usually considered to be a box or a container that holds or stores items, making them more synonymous with each other rather than directly related in terms of a relationship in a knowledge graph.']",['false'],['hyponym']
hall,hypernym,room,What is the relationship between 'hall' and 'room'?,'hall' [hypernym] 'room',['hypernym'],hypernym,"[""Based on common sense knowledge, the relationship between 'hall' and 'room' is the relationship of being part of a larger whole. \n\nTrue. Reason: A hall is typically considered to be a larger space designed for circulation or entrance, while a room is a smaller, enclosed space within a building. Therefore, a hall can contain multiple rooms within it, making the relationship between 'hall' and 'room' true based on common sense.""]",['not found'],['hypernym']
building,has part,window,What is the relationship between 'building' and 'window'?,'building' [has part] 'window',['has part'],has part,"[""False. Reason: A building can have windows, but 'building' and 'window' are not directly related in terms of a specific relationship in a knowledge graph.""]",['false'],['has part']
peruvian_balsam,hypernym,tree,What is the relationship between 'peruvian_balsam' and 'tree'?,'peruvian_balsam' [hyponym] 'tree',['hyponym'],hypernym,"['True. Reason: Peruvian balsam is a type of resin obtained from the Myroxylon balsamum tree, so there is indeed a relationship between ""peruvian_balsam"" and ""tree"" in the context of being a product extracted from a particular type of tree.']",['true'],['part of']
anthocerotaceae,hypernym,moss_family,What is the relationship between 'anthocerotaceae' and 'moss_family'?,'anthocerotaceae' [hypernym] 'moss_family',['hypernym'],hypernym,"['False. Reason: Anthocerotaceae and moss family are two different families in the plant kingdom. Anthocerotaceae belongs to the hornwort family, while mosses belong to a different family called Bryophyta.']",['false'],['hypernym']
evidence,hypernym,indication,What is the relationship between 'evidence' and 'indication'?,'evidence' [synset domain topic of] 'indication',['synset domain topic of'],hypernym,"['False. Reason: In a general sense, evidence and indication are related in that both can be used to suggest or hint at something. However, in a strict knowledge graph context, evidence is typically more concrete and directly supports a claim or fact, while an indication is more of a sign or signal that suggests a possibility but may not be as conclusive as evidence.']",['false'],['similar to']
nineties,hypernym,time_of_life,What is the relationship between 'nineties' and 'time_of_life'?,'nineties' [instance hyponym] 'time_of_life',['instance hyponym'],hypernym,"[""True. Reason: The nineties is a decade, specifically referring to the years from 1990 to 1999. Time of life can refer to a stage or period in a person's life. Therefore, it is reasonable to say that the nineties is a time of life for people who lived through that decade.""]",['true'],['instance hyponym']
iseult,synset domain topic of,middle_ages,What is the relationship between 'iseult' and 'middle_ages'?,'iseult' [instance of domain topic] 'middle_ages',['instance of domain topic'],synset domain topic of,"['False. Reason: Iseult is a character from medieval romance literature, specifically the legend of Tristan and Iseult, which is set in the Middle Ages. However, there is no direct relationship between Iseult and the Middle Ages in a knowledge graph.']",['false'],['instance hypernym']
circumnavigation,synset domain topic of,airplane,What is the relationship between 'circumnavigation' and 'airplane'?,'circumnavigation' [has part] 'airplane',['has part'],synset domain topic of,"['False. Reason: Circumnavigation is the act of traveling all the way around the Earth, typically by sea. While airplanes can also circumnavigate the Earth, the relationship between circumnavigation and airplanes is not direct or exclusive.']",['false'],['instance hyponym']
resect,derivationally related form,resection,What is the relationship between 'resect' and 'resection'?,'resect' [derivationally related form] 'resection',['derivationally related form'],derivationally related form,"[""True. Reason: 'resect' and 'resection' are related terms in the medical field. 'Resection' is a medical procedure involving the surgical removal of all or part of an organ or tissue, while 'resect' is the verb form of 'resection', referring to the act of surgically removing tissue or part of an organ. Therefore, there is a direct relationship between 'resect' and 'resection'.""]",['true'],['has part']
guanine,hypernym,purine,What is the relationship between 'guanine' and 'purine'?,'guanine' [instance hypernym] 'purine',['instance hypernym'],hypernym,"['True. Reason: Guanine is a type of purine. Purines are a type of heterocyclic aromatic organic compound that includes guanine, adenine, and other related molecules.']",['true'],['hypernym']
thripidae,hypernym,arthropod_family,What is the relationship between 'thripidae' and 'arthropod_family'?,'thripidae' [instance hypernym] 'arthropod_family',['instance hypernym'],hypernym,"['This relationship seems to be incorrect based on common sense.\n\nFalse. Reason: Thripidae is a family of insects, specifically a family of thrips, not an arthropod_family. Arthropod_family is a higher-level classification that includes various groups of arthropods such as insects, arachnids, crustaceans, etc. Thripidae is a specific family within the insect class, and therefore not directly related to the concept of arthropod_family.']",['not found'],['member of domain topic']
mauritanian,hypernym,african,What is the relationship between 'mauritanian' and 'african'?,'mauritanian' [instance hyponym] 'african',['instance hyponym'],hypernym,"['True. Reason: Mauritania is a country located in the continent of Africa, so the relationship between ""mauritanian"" and ""african"" is that of being part of the same category or group.']",['true'],['instance hyponym']
cruciferae,member meronym,genus_sisymbrium,What is the relationship between 'cruciferae' and 'genus_sisymbrium'?,'cruciferae' [member meronym] 'genus_sisymbrium',['member meronym'],member meronym,"[""False. Reason: 'Cruciferae' is a family of plants in the Brassicaceae family, while 'genus_sisymbrium' is a genus within the Brassicaceae family. They are not directly related in terms of a relationship like parent-child or sibling.""]",['false'],['member meronym']
united_states,member of domain region,partridge,What is the relationship between 'united_states' and 'partridge'?,'united_states' [instance hyponym] 'partridge',['instance hyponym'],member of domain region,"[""I'm sorry, but the relationship between 'united_states' and 'partridge' is not clear based on common knowledge or general knowledge graphs.""]",['not found'],['instance hyponym']
declarative,derivationally related form,declare,What is the relationship between 'declarative' and 'declare'?,'declarative' [derivationally related form] 'declare',['derivationally related form'],derivationally related form,"[""True. Reason: 'declare' is the verb form of 'declarative', with 'declare' being the action of making a formal or explicit statement, and 'declarative' being the adjective form describing something that declares or states a fact.""]",['true'],['derivationally related form']
